epoch,acc,loss,val_acc,val_loss
0,0.994140625,0.016709397290396735,0.98359375,0.05739792257169029
1,0.99625,0.01108447670338137,0.9803125,0.07644196980458219
2,0.9970703125,0.00934851323694602,0.98359375,0.06060104171076091
3,0.9972265625,0.007987330015948828,0.9809375,0.0715706920863886
4,0.997265625,0.007943914558909455,0.98140625,0.0787535463142558
5,0.997578125,0.007892395352009772,0.9871875,0.046992907076637495
6,0.9975,0.006626517318954939,0.986875,0.05603856310233823
7,0.99765625,0.006735296332967664,0.9871875,0.05418630615517031
8,0.9978125,0.00665664252796887,0.974375,0.12064766732160934
9,0.9975,0.00638470719115503,0.9846875,0.05568074182869168
