epoch,acc,loss,val_acc,val_loss
0,0.994921875,0.013953868207645428,0.97625,0.10089369005014305
1,0.9965234375,0.010599755609591739,0.98546875,0.055907633648603225
2,0.9955859375,0.011346981264427996,0.97984375,0.08508347922412213
3,0.9965234375,0.010241663234410225,0.98140625,0.0749089944807929
4,0.9969921875,0.008917142051241172,0.97921875,0.09268483533756808
5,0.9965234375,0.009057062044594204,0.9853125,0.05333967190876138
6,0.997109375,0.00796421355235907,0.97984375,0.07659939147008117
7,0.9973046875,0.007917886802124486,0.9796875,0.09725053679028861
8,0.996328125,0.009487329936509923,0.98265625,0.06265646602580091
9,0.9975,0.007468457677177866,0.98234375,0.06488785458408529
