epoch,acc,loss,val_acc,val_loss
0,0.9993359375,0.001887473658821861,0.98390625,0.08895672331609603
1,0.9994140625,0.0017349129886279257,0.98703125,0.08191021283180362
2,0.9991796875,0.002548017449006927,0.98734375,0.076305631511907
3,0.999296875,0.0017427441975787694,0.9803125,0.10865051842361936
4,0.9990234375,0.00231950691639188,0.97328125,0.15851893910567014
5,0.9992578125,0.0020951488941802765,0.98703125,0.07467229652413493
6,0.99953125,0.001478626528938527,0.98765625,0.065340654741251
7,0.999609375,0.0015003613519297332,0.98609375,0.08115412358578937
8,0.999453125,0.0016406409573145098,0.9809375,0.11377639168273163
9,0.9996484375,0.0010993153248199938,0.98875,0.07617950199148851
