epoch,acc,loss,val_acc,val_loss
0,0.9283203125,0.18262722966261208,0.94734375,0.14410376384854318
1,0.947265625,0.1337317457329482,0.946875,0.1428311137482524
2,0.954765625,0.1187840273976326,0.954375,0.12077523961663246
3,0.9561328125,0.11587676889728754,0.9521875,0.11874766293913126
4,0.96,0.1060413351468742,0.95796875,0.110110226534307
5,0.9619921875,0.10425368003780022,0.9590625,0.10727094173431397
6,0.9612890625,0.10179824905237184,0.95703125,0.11355603719130158
7,0.96171875,0.09988096595508977,0.93875,0.16153150293976068
8,0.9641796875,0.09529009200865403,0.96203125,0.1009535060916096
9,0.9660546875,0.09254172907210886,0.96375,0.09718381807208061
