epoch,acc,loss,val_acc,val_loss
0,0.9969921875,0.008134172668244446,0.98640625,0.05302749126318304
1,0.9973046875,0.007996748906830362,0.9825,0.07591855449314608
2,0.9978125,0.006295060640899237,0.98640625,0.06314314547846152
3,0.997109375,0.007935498981906904,0.985625,0.06319274296092772
4,0.998203125,0.005551940474399544,0.98453125,0.0705997966920404
5,0.997890625,0.00600644078816913,0.98734375,0.05930310103627562
6,0.9978125,0.006351983737068281,0.9840625,0.07053392904665089
7,0.998125,0.005234137045488296,0.98484375,0.06846509118997346
8,0.9981640625,0.005670498268409574,0.98375,0.08015391064385767
9,0.9978515625,0.006043079280231609,0.98609375,0.05643709835053869
