epoch,acc,loss,val_acc,val_loss
0,0.9872265625,0.03609074689942645,0.97078125,0.09193530976772309
1,0.9939453125,0.017520162776818324,0.95859375,0.1487320418609306
2,0.9950390625,0.01338454962533433,0.9834375,0.048671348573989234
3,0.994921875,0.014152290950059978,0.98265625,0.06532614089723211
4,0.9960546875,0.011278964972661924,0.98203125,0.06406753919611219
5,0.9971484375,0.009044997843102465,0.97640625,0.07391992345335893
6,0.99578125,0.010942622973470862,0.9834375,0.05546783056983259
7,0.99671875,0.009759115953802393,0.98921875,0.036525145264458846
8,0.9976171875,0.007213823794627388,0.95796875,0.19630130270830703
9,0.9973046875,0.007648361831415968,0.98015625,0.06656688485643826
10,0.9972265625,0.008356822068392375,0.963125,0.15140008652349934
11,0.9973828125,0.006982025420875289,0.9815625,0.06431450845877407
12,0.9976953125,0.006835751047110534,0.9746875,0.08777932648546993
13,0.9982421875,0.005184700308509491,0.983125,0.05888065036124317
14,0.997578125,0.006803407564993904,0.93265625,0.38820983726065605
15,0.9985546875,0.0050083473990298446,0.96953125,0.12068073640286457
16,0.998203125,0.005191156331611637,0.95765625,0.17164849956636316
17,0.997890625,0.005980278496535902,0.96421875,0.14424699505325406
18,0.9981640625,0.005840734800831342,0.98578125,0.04519821417779894
19,0.99828125,0.005069524393184111,0.98078125,0.07087922846083529
