epoch,acc,loss,val_acc,val_loss
0,0.9991015625,0.002249262018504581,0.98125,0.10435883329007993
1,0.999140625,0.002200493937088179,0.99046875,0.0474841813422762
2,0.9992578125,0.00203295021501269,0.98921875,0.06321902468873304
3,0.999609375,0.001518454955170192,0.98875,0.05660432520708923
4,0.99953125,0.0012844928802460487,0.99140625,0.03648900883612441
5,0.999375,0.0017525676190084383,0.98953125,0.05867609741885559
6,0.999296875,0.0019372486463813488,0.98375,0.09671894414472262
7,0.9993359375,0.002006396962240338,0.99109375,0.042104485152876805
8,0.999296875,0.0022623541519674363,0.9725,0.18919082141947002
9,0.9994140625,0.001991803923107014,0.99265625,0.03368778790446385
