epoch,acc,loss,val_acc,val_loss
0,0.9994140625,0.0018169091731243725,0.99109375,0.045937260925966256
1,0.9991015625,0.0024942591784883205,0.98859375,0.05020407548293633
2,0.9993359375,0.0015610773332604567,0.98546875,0.08096736325791085
3,0.999375,0.0022656746437784035,0.9890625,0.04787251484004912
4,0.999375,0.002104559540599418,0.98875,0.05650293132191336
5,0.999375,0.0017191338255873846,0.99109375,0.038413064378760284
6,0.9990234375,0.002986844981270593,0.9909375,0.04677473971873042
7,0.9995703125,0.0014930086308610412,0.9871875,0.060329541877495105
8,0.9991796875,0.002342624353909173,0.98546875,0.07761839552640709
9,0.9988671875,0.0034176054787668875,0.98484375,0.07042124268523821
